col0 col1
5.21725 -66.0
5.24749 260.0
5.27773 328.0
5.30797 127.0
5.33821 736.0
5.36846 804.0
5.3987 998.0
5.42894 -144.0
5.45918 -178.0
5.48942 -1073.0
5.51967 -1334.0
5.54991 -1316.0
5.58015 1087.0
5.61039 -114.0
5.64063 369.0
5.67088 -313.0
5.70112 1162.0
5.73136 1153.0
5.7616 461.0
5.79184 228.0
5.82209 1189.0
5.85233 1243.0
5.88257 -1123.0
5.91281 790.0
5.94305 835.0
5.9733 719.0
6.00354 1340.0
6.03378 2144.0
6.06402 664.0
6.09426 1822.0
6.12451 1773.0
6.15475 1556.0
6.18499 795.0
6.21523 1086.0
6.24547 1601.0
6.27572 1726.0
6.30596 1513.0
6.3362 1919.0
6.36644 1035.0
6.39668 1291.0
6.42693 -666.0
6.45717 1082.0
6.48741 3214.0
6.51765 1523.0
6.54789 528.0
6.57814 325.0
6.60838 1465.0
6.63862 518.0
6.66886 1008.9999999999999
6.6991 1461.0
6.72935 1244.0
6.75959 1138.0
6.78983 2789.0
6.82007 1635.0
6.85031 1887.0
6.88056 2458.0
6.9108 3284.0
6.94104 2750.0
6.97128 1873.0
7.00152 1891.0
7.03177 137.0
7.06201 1030.0
7.09225 965.0
7.12249 1125.0
7.15273 1932.0
7.18298 1980.0
7.21322 1962.0000000000002
7.24346 2315.0
7.2737 2598.0
7.30394 3126.0
7.33419 1245.0
7.36443 821.0
7.39467 3714.0
7.42491 4174.0
7.45515 6096.0
7.4854 7474.0
7.51564 5711.0
7.54588 3833.0
7.57612 2925.0
7.6366 3115.0
7.69709 1249.0
7.75757 2276.0
7.81805 2697.0
7.87854 2247.0
7.93902 3265.0
7.99951 3260.0
8.05999 3955.0
8.12047 4348.0
8.18096 3425.0
8.24144 2772.0
8.30192 3654.0
8.36241 3936.0000000000005
8.42289 4955.0
8.48337 5619.0
8.54386 5847.0
8.60434 6527.0
8.66483 6406.0
8.72531 8080.0
8.78579 8090.999999999999
8.84628 9192.0
8.90676 10684.0
8.96724 14686.0
9.02773 17669.0
9.08821 15516.0
9.14869 14763.0
9.20918 16289.000000000002
9.26966 17203.0
9.33015 18142.0
9.39063 19902.0
9.45111 21622.0
9.5116 22530.0
9.57208 24924.0
9.63256 26393.0
9.69305 26806.0
9.75353 26054.0
9.81401 27357.0
9.8745 28045.0
9.93498 28058.0
9.99547 27844.0
10.05595 28734.0
10.11643 28684.0
10.17692 29540.0
10.2374 30367.0
10.29788 29845.0
10.35837 29427.0
10.41885 30921.0
10.47933 44705.0
10.53982 52729.0
10.6003 35279.0
10.66079 28609.0
10.72127 28383.0
10.78175 29999.0
10.84224 28232.0
10.90272 28109.0
10.9632 28826.0
11.02369 28655.0
11.08417 29468.0
11.14465 28493.0
11.20514 29746.0
11.26562 29858.0
11.32611 30680.0
11.38659 29205.0
11.44707 28563.0
11.50756 27367.0
11.56804 27315.0
11.62852 27098.0
11.68901 27860.0
11.74949 26727.0
11.80997 26827.0
11.87046 24560.0
11.93094 24899.0
11.99143 24686.0
12.05191 24017.0
12.11239 23754.0
12.17288 23538.0
12.23336 24156.0
12.29384 23324.0
12.35433 23650.0
12.41481 23364.0
12.47529 20954.0
12.53578 20450.0
12.59626 20208.0
12.65675 19484.0
12.71723 18937.0
12.77771 21338.0
12.8382 22831.0
12.89868 20021.0
12.95916 20178.0
13.01965 20403.0
13.08013 19465.0
13.14061 20829.0
13.2011 21098.0
13.26158 21965.0
13.32206 23378.0
13.38255 23159.0
13.44303 22028.0
13.50352 23765.0
13.564 24636.0
13.62448 24198.0
13.68497 26336.0
13.74545 26659.0
13.80593 27051.0
13.86642 27901.0
13.9269 29960.0
13.98738 28488.0
